company,city
AutoZone,Memphis
Lam Research,Fremont
American Family Insurance Group,Madison
Illinois Tool Works,Glenview
Parker-Hannifin,Cleveland
Otis Worldwide,Farmington
Omnicom Group,New York
Principal Financial,Des Moines
Dominion Energy,Richmond
Kellogg,Battle Creek
Fluor,Irving
AECOM,Dallas
Reliance Steel & Aluminum,Los Angeles
Jacobs Engineering Group,Dallas
Corning,Corning
Farmers Insurance Exchange,Woodland Hills
Qurate Retail,Englewood
Pacific Life,Newport Beach
PulteGroup,Atlanta
Fidelity National Information Services,Jacksonville
IQVIA Holdings,Durham
Marriott International,Bethesda
Berry Global Group,Evansville
Ball,Westminster
Group 1 Automotive,Houston
Leidos Holdings,Reston
Wayfair,Boston
Consolidated Edison,New York
Ameriprise Financial,Minneapolis
Xcel Energy,Minneapolis
O'Reilly Automotive,Springfield
Global Partners,Waltham
Discover Financial Services,Riverwoods
Rocket Companies,Detroit
LKQ,Chicago
W.W. Grainger,Lake Forest
Quanta Services,Houston
Crown Holdings,Yardley
Fox,New York
Sempra,San Diego
Markel,Glen Allen
Carvana,Tempe
XPO Logistics,Greenwich
Baxter International,Deerfield
Ecolab,St. Paul
Tractor Supply,Brentwood
Andersons,Maumee
Keurig Dr Pepper,Burlington
Universal Health Services,King of Prussia
CSX,Jacksonville
Henry Schein,Melville
Sonic Automotive,Charlotte
eBay,San Jose
Textron,Providence
Jones Financial (Edward Jones),Des Peres
Community Health Systems,Franklin
Mosaic,Tampa
Thor Industries,Elkhart
Dick's Sporting Goods,Coraopolis
Newmont,Denver
Devon Energy,Oklahoma City
Warner Bros. Discovery,New York
J.B. Hunt Transport Services,Lowell
Alcoa,Pittsburgh
Peter Kiewit Sons',Omaha
Aramark,Philadelphia
Vistra,Irving
State Street,Boston
Unum Group,Chattanooga
Alleghany,New York
Boston Scientific,Marlborough
Westlake,Houston
Entergy,New Orleans
International Flavors & Fragrances,New York
DaVita,Denver
Mutual of Omaha Insurance,Omaha
Assurant,New York
Liberty Media,Englewood
Hormel Foods,Austin
Icahn Enterprises,Sunny Isles Beach
Republic Services,Phoenix
Mohawk Industries,Calhoun
Conagra Brands,Chicago
Norfolk Southern,Atlanta
AES,Arlington
AGCO,Duluth
Caesars Entertainment,Reno
Equitable Holdings,New York
Advance Auto Parts,Raleigh
Biogen,Cambridge
Auto-Owners Insurance,Lansing
Booking Holdings,Norwalk
Amphenol,Wallingford
Quest Diagnostics,Secaucus
FirstEnergy,Akron
DCP Midstream,Denver
Ally Financial,Detroit
Delek US Holdings,Brentwood
Williams,Tulsa
Newell Brands,Atlanta
Eastman Chemical,Kingsport
Air Products & Chemicals,Allentown
Thrivent Financial for Lutherans,Minneapolis
Molson Coors Beverage,Chicago
Interpublic Group,New York
Weyerhaeuser,Seattle
Altice USA,Long Island City
Raymond James Financial,St. Petersburg
EMCOR Group,Norwalk
Eversource Energy,Springfield
Yum China Holdings,Plano
Asbury Automotive Group,Duluth
Owens & Minor,Mechanicsville
Public Service Enterprise Group,Newark
United Rentals,Stamford
MGM Resorts International,Las Vegas
Ryder System,Miami
Intuit,Mountain View
Cincinnati Financial,Fairfield
Erie Insurance Group,Erie
Univar Solutions,Downers Grove
Huntington Ingalls Industries,Newport News
W.R. Berkley,Greenwich
Western & Southern Financial Group,Cincinnati
Insight Enterprises,Tempe
News Corp.,New York
American Tower,Boston
Old Republic International,Chicago
Burlington Stores,Burlington
Avis Budget Group,Parsippany
ODP,Boca Raton
VF Corp.,Denver
Bed Bath & Beyond,Union
Seaboard,Merriam
First American Financial,Santa Ana
Intercontinental Exchange,Atlanta
PVH,New York
Apollo Global Management,New York
Jefferies Financial Group,New York
Hershey,Hershey
NVR,Reston
Foot Locker,New York
Dana,Maumee
SpartanNash,Byron Center
Olin,Clayton
Chewy,Dania Beach
Jackson Financial,Lansing
Activision Blizzard,Santa Monica
Toll Brothers,Fort Washington
Carlyle Group,Washington
Graybar Electric,St. Louis
Ovintiv,Denver
UFP Industries,Grand Rapids
Ulta Beauty,Bolingbrook
Constellation Brands,Victor
Expedia Group,Seattle
CommScope Holding,Hickory
Celanese,Irving
Global Payments,Atlanta
Owens Corning,Toledo
Campbell Soup,Camden
Huntsman,The Woodlands
Franklin Resources,San Mateo
Avery Dennison,Glendale
Masco,Livonia
CenterPoint Energy,Houston
Fifth Third Bancorp,Cincinnati
WEC Energy Group,Milwaukee
S&P Global,New York
FM Global,Johnston
Polaris,Medina
Williams-Sonoma,San Francisco
Autoliv,Auburn Hills
Arthur J. Gallagher,Rolling Meadows
Motorola Solutions,Chicago
Zillow Group,Seattle
Opendoor Technologies,San Francisco
J.M. Smucker,Orrville
Anywhere Real Estate,Madison
Oshkosh,Oshkosh
MasTec,Coral Gables
GXO Logistics,Greenwich
APA,Houston
Boise Cascade,Boise
Dover,Downers Grove
Genworth Financial,Richmond
